,Unnamed: 0,name,year,runtime,genre,rating,metascore,timeline,votes,gross
430,430,The Last Picture Show,1971,118,"Drama, Romance",8.0,93.0,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.","43,574",$29.13M
431,431,Fiddler on the Roof,1971,181,"Drama, Family, Musical",8.0,67.0,"In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village.","40,216",$80.50M
432,432,The Conformist,1970,113,Drama,8.0,100.0,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.","27,864",$0.54M
433,433,Butch Cassidy and the Sundance Kid,1969,110,"Biography, Crime, Drama",8.0,66.0,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.","203,982",$102.31M
435,435,Planet of the Apes,1968,112,"Adventure, Sci-Fi",8.0,79.0,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.","167,253",$33.40M
436,436,The Graduate,1967,106,"Comedy, Drama, Romance",8.0,83.0,A disillusioned college graduate finds himself torn between his older lover and her daughter.,"256,862",$104.95M
438,438,The Sound of Music,1965,172,"Biography, Drama, Family",8.0,63.0,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,"210,658",$163.21M
439,439,Doctor Zhivago,1965,197,"Drama, Romance, War",8.0,69.0,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.","71,050",$111.72M
440,440,A Fistful of Dollars,1964,99,"Action, Drama, Western",8.0,65.0,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.","201,284",$14.50M
441,441,8½,1963,138,Drama,8.0,91.0,A harried movie director retreats into his memories and fantasies.,"110,795",$0.05M
443,443,The Hustler,1961,134,"Drama, Sport",8.0,90.0,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,"76,040",$8.28M
444,444,La Dolce Vita,1960,174,"Comedy, Drama",8.0,95.0,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.,"68,016",$19.52M
